phrase|partisanship
interest rate|-72.3439065854678
state depart|41.8757026030045
tax rate|41.2425632820999
rise support|38.445961934714
state local|33.1393151158634
tax burden|29.2883860829395
human right|-28.5770602902186
high interest|-24.587872530368
save loan|-24.0848255854808
higher tax|21.6697260620789
senior citizen|-21.0453533606279
tax dollar|19.3915065021237
save invest|17.9105863864371
rural develop|-17.898106766702
stamp program|15.3234517429169
public health|-13.9497140985665
tax bracket|13.4169233905684
school lunch|-13.3470515771017
credit control|13.3384565897269
member side|13.266782505324
import oil|-12.9880841562326
base mode|-12.8976482266992
nation debt|12.5659179477565
coast guard|-12.4198520621367
export control|-12.3310680956619
take look|12.2853577103404
trade agreement|-12.144304399155
fund abort|11.9484086756904
general counsel|11.6825215859073
tax system|11.0477997836536
home heat|-11.0144296639716
street journal|10.891890945785
special prosecutor|10.639486585351
foreign affair|-10.5614874099987
intern trade|-10.5258481730164
billion fiscal|10.3664952102169
abort demand|10.3180796675801
govern spend|10.3096557589882
popular vote|-10.125205688933
high school|-10.1065732671525
nuclear plant|-10.0514932761047
clear calendar|9.51136596066408
colonel list|9.50020197732277
tax relief|9.37483819184952
commend distinguish|9.28008384654442
farmer home|-8.91890127511699
travel tourism|8.90679661069511
oil gas|-8.50280178757983
lower tax|8.47069417406578
distinguish friend|-8.43620648171643
million outlay|-8.35453797709638
high tax|8.23489539668665
trust fund|-8.15871548353655
big oil|8.12491108734861
cow creek|8.11022817353678
think import|-7.81668054831198
demand second|7.66668013949344
trade act|-7.45878416814895
rate return|7.39854496337474
check account|-7.3933737018331
labor movement|-7.34464884081873
attorney general|7.31984392842978
foreign oil|-7.31879735521326
special interest|-7.29300857977736
inspector general|-7.21282878484338
billion tax|7.04484719761859
affirm action|6.90010479894465
author bill|-6.72164212613562
billion dollar|-6.68054909270788
transport system|-6.65913505701133
local school|6.62391330465017
share draft|-6.47726943311833
export trade|-6.41772749202373
health profess|6.15811783456203
credit union|-6.13696464312658
spend level|6.10142364214064
mental health|6.08534868249054
minimum wage|5.99158428879173
growth govern|5.94917943324019
fact matter|-5.88524289306332
custom court|-5.83128743678698
million barrel|-5.78406161089739
big govern|5.7643781787111
feed grain|-5.65793695707733
foreign avail|-5.51803152201668
tax equal|5.50247589236822
fast track|-5.42206855788664
lunch program|-5.38120871788078
ocean mine|5.3654796635383
ration plan|5.26566893695054
tax code|5.18313245582908
motor fuel|-5.18230519187288
human life|5.11389761700823
prevail wage|4.97957594095142
budget deficit|4.96008147229293
deficit spend|4.88727789841441
pay tax|4.87869276010419
border patrol|4.80468748800036
tax tax|4.79868846606282
first step|4.71595864829383
sticker plan|4.67006965565656
surplus area|-4.54211261353928
infant formula|-4.53530144501442
caribou herd|-4.46641297994244
care act|-4.4096565912425
need time|4.39082190749914
just want|4.39009825533107
public transport|-4.38249293216773
trade deficit|-4.36108531813631
public school|4.34711877112903
support bill|4.34120141556941
health plan|-4.3403104437573
northeast corridor|4.30465357061503
strip mine|-4.25674483656735
nuclear fuel|-4.24054075055878
cost contain|-4.24052172418396
nuclear war|-4.21559282777343
desalt plant|-4.21274835595804
joint chief|4.15916687701335
wish best|-4.12317994600713
elect year|4.09792094200113
budget process|4.09494355156833
million budget|-4.07739271362212
budget amend|-4.04336344604402
spend restraint|4.02640821104324
wage rate|4.02265070734253
heat oil|-4.01461107581847
appoint grade|4.00152371817527
general depict|-3.9994674966424
product growth|3.98842818262724
agent orang|3.97317350399681
four ship|-3.93222491769936
billion barrel|3.93113762495871
control act|-3.9225580039798
third budget|3.90362510234291
order share|3.85717321848051
nation labor|3.83462620999706
tar sand|-3.82682195077605
labor protect|3.79082282150924
island nation|3.77273331357721
foreign tax|-3.77203080696203
airport airway|-3.74701030137742
interest dividend|3.72155087520581
impact aid|-3.71473222436914
veteran employ|3.71282621475637
coastal plain|-3.69274287263289
effect test|3.68447263411424
minimum tax|3.68433443407148
second budget|3.68204885160256
nation govern|3.67851871013204
public hear|-3.62738231586902
state action|3.62378092710969
soviet author|-3.589944093294
