phrase|partisanship
tax relief|176.044178219196
public school|-86.1754354453642
tax code|76.6138251545561
minimum wage|-65.7681245438219
govern spend|59.8512567626521
bill right|-59.4527713730851
big govern|58.3634269487884
save account|57.1011370114074
tax break|-49.2101268435895
tax burden|48.7861611740601
death tax|44.5047773235185
think import|42.3093131434823
nation debt|42.0452966616286
credit union|-41.194012984965
credit card|-38.327558388038
trade agreement|-37.8930011168762
pay tax|37.6772255436181
lower tax|36.5691036216436
trade deficit|-34.8328466362034
school construct|-34.2710017945963
trust fund|33.6076090237759
tax rate|33.2638417626433
public health|-31.7168120944735
higher tax|30.868538572807
save social|29.6747196346011
tax dollar|29.6438256566034
drug use|27.9492416246154
local school|27.1518092053448
coast guard|26.4629745761711
chemic weapon|-25.6662859241443
support rule|24.7304564013768
head start|-24.6326122052285
fast track|-24.5853921711254
senior citizen|24.544280820448
budget amend|23.311200561964
term limit|22.4300337998585
local level|22.4255800740847
interest rate|21.3413634216167
tax spend|20.414298373653
school board|19.6585158885329
patient bill|-19.2930638172032
gulf war|-19.2621790176174
class size|-18.461227305386
human right|-17.8880265846853
go spend|17.7778044761256
year ago|17.7186966431495
save invest|17.1945553125758
spend program|16.7845146729982
school build|-16.6833819117684
trillion debt|16.4253864417833
war drug|16.2355187953637
unit nation|16.1996935285202
pay debt|16.177354578761
growth govern|15.9732474683216
govern program|15.7945073287373
tax system|15.7530278288601
nation guard|-15.0182166292701
world war|-14.819658341575
come floor|-14.7375958825193
care reform|-14.5542151746892
percent tax|14.4252561995642
class action|-14.3513035487691
human life|13.803982021607
tax limit|13.5370490140524
spend go|13.3497552518484
budget author|13.2082544461989
right act|-13.141705158236
deficit spend|13.1249968437007
pay interest|13.119714565208
crime misdemeanor|-13.048059523927
medic care|-12.8606110920877
spend bill|12.7998044098885
want see|-12.6718023564812
local govern|-12.5507400703898
home health|-12.2750070252761
lie oath|12.2613907883827
high crime|-12.2493374249793
sale tax|-12.139253103108
back home|11.841258148557
farmer rancher|11.8018758167409
fact matter|-11.7282080965377
patient protect|-11.6157474332746
budget deficit|-11.5083251481479
state depart|11.2498642590874
rural area|-11.2495402571872
sexual harass|11.1940939316502
birth abort|11.1226478587476
tax reform|11.0614545258003
drug court|11.0303968783136
right movement|-11.0009917814518
crime prevent|-10.8442203155925
bigger govern|10.8427574719695
bipartisan bill|-10.8004378670338
