phrase|partisanship
account ill|155.557011489396
war profit|66.0205417416283
govern unit|54.3375865564645
ship board|-48.641904040357
standard return|-37.1771637478249
time war|-36.3126367524127
mail matter|27.8374977219242
owe ill|24.4935751545974
central account|19.4212072638775
rate interest|19.3464546624586
command chief|-18.4089295257684
pay tax|18.4048904796875
surgeon general|14.2833476137672
excess profit|13.8327034987322
billion dollar|13.0193077905478
public domain|-12.8266236875516
pay pension|-11.6511670524153
prewar profit|11.1660666875964
distinguish friend|-10.6966368845864
bureau mine|-10.6900850190135
detain ill|-10.1543536961917
govern take|-9.0583076536383
pension rate|-8.74771629883129
farm credit|8.68884271159378
acid test|8.37632805421874
war depart|8.18343892324137
nation govern|8.00748119372802
convict labor|7.53440946663382
standard oil|-7.35129821173706
wooden ship|-7.33574184936005
director census|7.23606486791552
draft act|7.17397250606007
draft age|7.12341039952198
draft system|-7.03750080878504
stress war|6.98817406695457
men need|6.9743575692496
organ labor|-6.96638320582699
war tax|6.9255150088212
boy trench|6.84901094426592
erect build|6.80994046502518
zone system|6.78210041360582
cent bracket|6.7587052276215
ill general|6.55914553190951
nation prohibit|-6.2741414857746
war close|5.84292645547894
board trade|-5.62683785797802
vast sum|5.52320881528118
interior depart|-5.46554596760221
return soldier|5.38288767360852
credit farmer|5.26616750343817
special interest|-5.21439726068855
take control|-5.14687715993572
bureau war|5.08739335256774
excess war|5.08100046256729
fix uniform|5.04367259961883
take care|4.81571060866071
cent hour|4.74645467153614
control food|-4.64053751034798
civil war|4.61739977074898
conduct war|4.59851941542228
take away|-4.50410113612631
coal oil|-4.49363998299399
export trade|4.47492770025382
war cabinet|-4.45190065014481
take men|4.40954219603726
furnish coal|-4.32566088251005
zone rate|4.3066377573131
red flag|4.27393773506116
color soldier|4.2276170752458
right control|-4.16111853013525
profit year|4.14995717497116
know tile|4.14526006060549
product food|4.12979303921009
strike railroad|-3.99941133717405
oil gas|-3.98646797551381
homestead act|-3.92666937835155
rural credit|3.91801929528617
import public|-3.85666174085574
prewar year|3.85370845095543
want seed|3.84679388856613
local credit|3.76851077622048
world safe|3.71856093908146
accord best|-3.66463850294802
men come|-3.64302926651727
wage earner|-3.62847902437567
standard time|-3.59079696703142
select draft|-3.4794269883871
pipe line|3.45953057659691
submit tile|-3.4582750702671
local inspector|-3.39075346803034
cold spring|3.34860387827957
farm paper|3.33180083920262
final proof|-3.3228079144224
furnish credit|3.30724767998502
lie right|-3.29595096458631
cent credit|3.28312682164944
war widow|-3.09847960488737
take railroad|-3.09001809751923
mail clerk|3.08649268053256
sink fund|3.05945099642364
high contract|2.97874936534886
right take|-2.95340635680036
inherit tax|2.92651608503352
profit tax|2.91950081312954
return car|-2.87775049207572
make differ|2.87118926055274
system transport|2.86905857388669
war vote|2.84105423809901
tax bill|2.79392270462682
pension also|-2.79087641823699
widow depend|-2.78236935433122
select conscript|2.77245486692668
make contract|-2.72987701690879
tile railroad|-2.69120555684843
get tile|2.6877571037199
tribal fund|-2.66185954198786
chief statistician|2.64922834877476
better credit|2.64778994516955
draft board|-2.60915923470407
rate fare|-2.56588450273051
class freight|-2.50489647112077
agent depart|2.49837730413297
receipt railroad|-2.49321453461465
men seem|-2.48465234610812
spirit patriot|-2.47188465495036
end war|2.4678228156037
mine claim|-2.44624431399728
first bracket|2.40656908781679
mine plant|2.35235046903745
sailor regular|-2.3471942824999
special pension|-2.32890189566555
see just|2.32371176163509
freedom speech|2.26747032253246
train station|2.26025397466461
tile public|2.25851008069623
letter chief|2.2536953760361
war trade|-2.23911564314884
neutral ship|-2.22886194003585
critic bureau|2.22600414403477
back owner|2.21206882924836
lie express|-2.21009751683643
freedom sea|-2.20522078881087
amend tax|2.16854287348236
minimum wage|2.16366018925101
success conduct|2.16088248843627
use express|-2.12017249323839
public ownership|2.11810394362637
excess number|-2.10909835361341
amount war|2.10503777747581
tile naval|2.09989813934035
soviet govern|2.0740803510576
give men|2.06577959172358
vote prohibit|-2.04427603120838
various plant|-2.04096151870212
vinous malt|-2.00071160149633
system credit|1.94127390906477
pitiless public|1.91629855978051
tile great|1.91052555777755
govern tile|1.90601404032157
present tile|1.89206211662299
bushel export|1.86827835874697
store coal|1.85632865176925
men next|1.84044062557462
furnish govern|1.79884566374002
death total|-1.79358465128363
hotel build|1.7882630605236
inspect food|-1.78375769475098
government control|-1.78310011244022
one cent|1.76279680327997
contract order|-1.74542065587155
use mail|1.71461103857344
pair tile|1.70906321504081
fight side|1.69771445755669
thing vital|-1.69646337616074
ground lie|-1.67466478159318
deduct net|1.6567978484216
food food|-1.65005611338237
surplus product|-1.64928707522633
omnibus pension|-1.64177762701723
amend tender|-1.63487883818703
men broad|1.62503276229386
give ballot|1.61740568945596
newsprint paper|1.61216386636305
general colonel|-1.60917890533121
public sentiment|1.59446830552461
total crop|1.58478088926393
save except|-1.58096416039319
war longer|1.5711828129246
pay tile|1.56536920514886
think word|1.5635900365244
high posit|-1.56195192229767
lien govern|1.5522349189235
cent interest|1.55127292802015
ever dream|1.54637053153829
soon war|1.52299378733856
neutral nation|-1.52192369226492
labor labor|1.50591267640595
one deposit|-1.50012849670584
establish zone|1.49242227050553
author loan|1.48969785576924
five civil|1.48474514081968
pay superintend|1.48352929536134
citizen subject|-1.48331739305275
cost end|1.47076037199531
year ago|-1.46777039723521
care soldier|1.46530750881422
old soldier|-1.45598727981735
number room|1.44560354449727
year tile|1.44218640413636
health care|-1.44173798708107
just soon|1.43788468771556
home must|1.42706816247861
thorough organ|-1.42560820902075
foolish thing|-1.42429529643263
