phrase|partisanship
war terror|153.028849312573
minimum wage|-134.028360643101
death tax|109.767625271243
hate crime|85.2420368951358
tax break|-84.7112610442828
credit card|-80.0253240948568
tax relief|79.4607060577121
stem cell|72.7886166743952
support rule|70.0543650138171
nation debt|-63.2791519609517
nation guard|-59.1377740457539
global war|57.9443681738159
unit nation|55.0314043976479
vote right|-52.8453054441539
student loan|-52.3811849950359
right act|-46.4460900537453
under bill|46.1074912513135
border patrol|44.4192780708623
billion dollar|-42.7727630985837
rise support|40.5463756810373
veteran health|-38.9737124409603
first respond|-38.3822706736894
prescript drug|-37.9216892998744
trade agreement|-36.5679772216459
tax rate|35.1045038799408
special interest|-34.6869948581519
right movement|-31.6360377589201
human right|30.9469001269357
trade deficit|-30.799642694823
longer threat|30.0813320420324
foreign oil|-30.0648315423164
rule under|29.9626347273258
big oil|-29.3321100946006
coast guard|28.7407333891114
boy scout|26.7736100458279
civil war|-26.5760500744016
troop home|-26.3549743657973
bless troop|25.8802745868921
human life|25.3629293075382
senior citizen|-25.2940225181508
across border|25.0931383691461
budget deficit|-24.4506937823361
oil gas|-24.0598537417753
govern spend|23.9284819337075
bring troop|-23.7021551907336
peak oil|23.6025782429213
come across|23.2486709761677
student aid|-22.5754737404753
left behind|-22.137439075385
member support|21.9536928163549
head start|-20.9197098051954
adult stem|20.3514650213258
next chart|20.3238531110355
terrorist attack|20.0272957786151
billion tax|-19.6483846377499
rebuild gulf|-19.5172340277278
come home|-19.2691069672682
trust fund|-19.025994092675
cost war|-18.9907702753713
job creation|18.789558341974
member side|18.7841860102263
look forward|18.6127775310561
southern border|18.4956683135152
one thing|18.4687392097776
threat unit|18.3940429541347
budget author|17.8186116090016
support troop|-17.3846373093672
debt limit|-17.2683062028321
repeal death|17.2094679375791
win war|17.0363012535837
public broadcast|-16.9700679182343
worker right|-16.574255442025
support bill|16.4594215624584
send signal|16.3363251037721
control spend|16.2849649946525
pay interest|-16.2765917746107
save account|16.213940107453
record profit|-16.1943027762466
human embryo|16.1592662881289
detent bed|-16.1401174599894
program help|-15.8416445187744
give tax|-15.7891505661599
health plan|15.7651628192058
put place|15.5043630964793
world trade|15.2863279366685
nuclear option|-14.6612876511455
rubber stamp|-14.6607590469507
parent consent|14.6445849939289
come unit|14.4843586621126
sale tax|14.3673444529271
frivol lawsuit|14.2697637942782
health save|14.0723278862806
truth squad|13.9629558384201
million barrel|13.6615148896209
sex offend|13.6393066795343
defend citizen|13.5645965806509
mental health|-13.185320244201
state line|12.8565137653956
chief staff|-12.8106939298032
item veto|12.6014504283651
need help|-12.5665038605807
need hate|12.5524759612111
depend foreign|-12.4455554316707
move forward|12.3995209412468
lower tax|12.3933789035307
trillion dollar|-11.990339695646
lost job|-11.9570745985832
line item|11.9225341841143
gulf coast|-11.7602850318166
pension plan|-11.7563281274809
come hate|11.719280800715
go war|-11.6960696798631
rail transit|-11.5832420167241
crime occur|11.5554678836364
cord blood|11.5530878040184
barrel oil|11.4981223943879
first class|-11.491626498218
vet center|-11.4837437256687
highway bill|11.4714976359094
