phrase|partisanship
head start|-42.7945849605881
budget amend|29.7695349054634
human right|-27.8748954384239
cold war|-27.7398631843164
billion dollar|-26.0205423072712
go war|-25.9917504753802
tax rate|24.283516865604
public health|-24.0749474092167
senior citizen|23.9017396048023
rise support|-23.3788656589328
save loan|-23.3013085649112
plan parenthood|22.201131322636
earn test|21.3690643658784
credit card|21.232417112705
world order|-20.7487344458566
pay interest|20.7039569771219
extend benefit|-20.010344751788
growth act|19.0456740318778
attorney general|18.9531284124253
trade agreement|-18.5666843864191
star war|-18.3253010286304
coast guard|-18.2440184635827
fast track|-17.8836917625216
tax break|-17.7677184882158
come floor|16.6382099643157
member side|16.5250207101838
violent crime|16.475166259459
spot owl|16.3600445654091
breast cancer|-15.9064557354601
clean air|-15.6901210322946
drug test|15.6545486328682
job train|-15.1700258515227
just want|14.4894025742788
tax code|14.341304304851
term limit|14.2747061687285
abort demand|14.2667315285298
job creation|14.0889255238407
environment protect|-13.9797654375639
take look|13.9656248525982
care system|-13.9589086027099
take care|-12.7053725802479
tax dollar|12.6622328533656
sexual harass|-12.573530483314
aid virus|12.4437198141366
exhaust benefit|-12.2481095955974
tax credit|12.0428658144423
cargo prefer|11.8780153952676
pork barrel|11.8584951288229
control spend|11.8456074645837
just pay|11.8114675184383
abort method|11.2996323401466
govern spend|11.0445903639878
environment extremist|11.0323819777972
foreign assist|10.9700637199072
earn limit|10.9193668549255
boy scout|10.7522849049488
commend distinguish|10.7294345798276
lost job|-10.6422598552571
veteran affair|-10.5615179442056
care cost|-10.5503300015074
state select|-10.0687276549563
think import|9.88972608795027
interest group|9.79961256747093
highway bill|9.69729262284153
pay bill|-9.60564194688401
transport system|-9.43174676244399
foreign affair|9.13725804221086
health center|8.83431728534916
crime victim|8.81300033798903
student loan|8.74582218315593
childhood hunger|-8.69911443533943
fact matter|8.6358278929496
support rule|8.63046882459643
trade deficit|-8.58112414866074
start program|-8.51882500167577
red tape|8.44617548569733
command chief|8.39283370749224
higher tax|8.36220457844151
tax spend|8.34417185376895
cost contain|-8.2023805495605
drift net|8.13633389530683
birth control|8.063331589332
perform abort|8.03245613255563
get control|8.01855964308751
vote right|-8.00090520628723
oil gas|-7.92401690166967
budget agreement|7.80665454451822
sexual assault|7.69380572372214
nation health|-7.61317627668973
save invest|7.51324343135521
afford health|-7.50269167524085
user fee|7.33891303729249
need invest|-7.26529090888899
make invest|-7.21649843716769
take away|7.03501637398928
victim crime|7.01095307740599
need help|-6.98839923651644
graze fee|6.91280585938595
boat tax|6.84455134151596
worker right|-6.74956315934844
address problem|-6.69139348866217
last night|6.44497960604655
drug use|6.40267675018433
invest tax|6.39502386703457
barrel project|6.35128748925427
spend bill|6.30700413614034
find job|-6.27672470523095
racial quota|6.24980952622607
hate crime|-6.18896414651962
cost war|-6.16644886926187
environment standard|-6.14092683185145
coastal plain|-6.03292330696292
kill job|5.93471720994664
random drug|5.89077183007953
foreign oil|-5.8895497384594
billion tax|5.86828115621289
fundament right|-5.84431647697921
timber sale|-5.83817049867082
lose job|-5.82830579528786
tort reform|5.82363942267915
minimum wage|-5.79288976924854
safe drink|5.71495450502828
voter turnout|5.7127404701344
farm credit|-5.60997053495872
generic drug|5.57766380705538
lower tax|5.5325339079392
special interest|5.52178193097085
might mention|5.4877264067914
gun control|5.4659138009216
progress caucus|-5.44981268705437
air traffic|-5.41402397212272
care reform|-5.41186913427478
lower cost|5.39531792826787
blank check|-5.34414444339904
public invest|-5.32084462768824
bad check|5.23085418538509
member support|5.21294984025065
threaten veto|-5.20302520294533
job corp|-5.19708545244649
farm program|-5.1906777943863
under bill|5.18823959769446
medic care|-5.16155487799611
repeal social|5.10881477686185
farm bill|-5.09749755854613
nation debt|5.0972920079215
minimum tax|5.08089484081393
abort clinic|5.06540980984256
one thing|5.02441948644222
urgent need|-5.01731311387956
agent orang|-5.00739756521673
nation guard|-5.00416408167641
central valley|4.94007933678134
first author|4.90138757121481
tax reform|4.89440753259374
chief sponsor|4.83293882775268
tax relief|-4.76993355989297
debt run|4.76231803417084
sex offend|4.72841644640857
past fiscal|4.71195374778426
tax limit|4.6948859298713
gas tax|4.67780881607275
spend control|4.64689089093785
crime control|4.62572864466333
save account|4.62210972655272
trust fund|-4.56611423738113
real reform|4.5606297789129
human life|4.5179834716895
line item|4.50273775803952
mental health|-4.48649655735921
abort kill|4.47911707563211
impact aid|-4.4705989827865
older worker|4.44783288925365
high school|-4.43108125085835
method birth|4.4087209393149
want help|4.37504562406787
general account|-4.36792856980172
conflict interest|-4.35961059394464
woman right|-4.33772859719359
guard user|4.33634184771298
special prosecutor|4.31931868074798
caucus budget|-4.2801743999814
govern collect|4.24812648260564
veteran program|-4.22997422141729
highway trust|4.20144567791742
destroy job|4.1890348153731
bill floor|4.18620775242686
need leadership|-4.15726597233692
sexual contact|4.05616467675551
student aid|-4.04124842264218
percent tax|4.03956151311495
trade act|-4.03381833022985
tax burden|3.98600761200967
billion barrel|-3.97379281858158
adjust assist|-3.95406224871501
transit system|-3.91447398808581
spend habit|3.90630606768691
spend program|3.90629234253333
patent system|3.90411403550456
found father|3.89950950646696
railroad worker|-3.87257188958362
state past|3.86555874079892
past half|3.85494481078548
interest debt|3.82315305881957
real world|3.79970834899835
support motion|3.79731692514261
drive cost|3.78199458024088
job program|-3.76810828869901
assist program|-3.75842859110283
throughout world|3.74674106851976
fund head|-3.74468469747555
kill unborn|3.73780748196716
general fund|3.69761264950343
right act|-3.68155317968931
trauma center|-3.67671364545141
travel tourism|3.67562247329574
distinguish friend|-3.67190365052671
assault weapon|-3.65448105106553
plant close|-3.62358812823146
elect abort|3.62123896565874
traffic control|-3.59723938403609
faith except|3.57261057962507
school board|3.54206300465683
spend cap|3.52911900616052
war crime|3.52494123316109
unit way|3.5110727693247
current level|-3.51101216060565
pay tax|3.46654211031816
need plan|-3.45832072709756
billion year|-3.4501725978464
spend dime|3.43704107784752
elect year|3.40332341012309
trial lawyer|3.40275676249236
labor environment|-3.39268006788892
develop block|-3.37563564405916
fiscal restraint|3.36696814061916
care act|-3.35633037960558
deficit spend|3.31859515979021
member like|3.30224921559476
air act|-3.29593487570493
spend restraint|3.26018063246199
benefit plan|3.25583249074774
health care|-3.25431696334646
safe sex|3.23887152849439
fighter pilot|3.23843581108771
invest need|-3.22665529079232
right trade|-3.22642320239137
great depress|-3.21949901633795
fiber optic|3.20661691465324
invest nation|-3.2045122236108
trillion debt|3.20322606502469
rural health|3.19474378134861
growth job|3.17611580299178
mass mail|3.13931531392883
outer continent|-3.13559575672758
around place|3.134590134738
growth bill|3.12312279512864
give away|-3.11714614542374
exact right|3.0597784063627
lose health|-3.0478502614488
farmer mac|3.04156912303299
home health|-3.00163764327593
lead poison|-2.99843377380792
depend oil|-2.98630257923071
point time|2.97974846126765
old soviet|-2.96901288851129
nation highway|2.96736028335323
tax freedom|2.96361459879994
turn back|-2.94018478361023
prison labor|-2.92476138457481
world oil|-2.90671059686532
oversight board|-2.89198233430787
prescript drug|-2.89056212140265
protect environ|-2.88643689797196
home ownership|2.88618586404768
farm bureau|2.8844898714179
continent shelf|-2.88159809908309
nation govern|-2.8322491305463
mother unborn|2.81982772512815
item veto|-2.81506264954501
tireless effort|2.80371901431921
public sector|-2.74145297759615
victim right|2.73949494799114
unit nation|2.71731518410051
recess end|-2.71470779942153
tax hike|2.70119040811147
best wish|2.65951656608225
use drug|2.6451910996122
mental ill|2.64205542960877
prison war|2.64166761932068
current system|2.63455256521378
kill abort|2.63324021626097
life unborn|2.63312178454553
drug user|2.63243242943632
debtor nation|-2.61869585432419
protect status|-2.60680322695305
make end|-2.60131511154615
special counsel|2.59265859696898
trauma care|2.58902577442776
trillion dollar|-2.56779116280224
repeal earn|2.56370541559967
growth spend|2.56261291629461
first home|2.54990214885685
care worker|2.54532855363473
draft dodger|2.54523577749467
trillion nation|2.52875658132477
big govern|2.52819507615025
smaller firm|2.52814139507817
year cost|2.52166678800732
scud attack|2.5206103317831
level spend|-2.50042294128747
protect public|-2.49933023647009
global warm|-2.49791475923487
give sanction|-2.49666657244005
chemic poison|2.49254645295698
