phrase|partisanship
minimum wage|-212.648090482755
student loan|-155.076400800173
care act|-137.870475560731
afford care|-136.883204295106
farm bill|-107.619232227149
interest rate|-104.352614858731
govern shutdown|-77.235307396736
vote right|-71.9188594299853
shut govern|-68.5198450774724
head start|-64.2187546663726
tax break|-63.1145316107784
rais minimum|-60.3837595626986
pay bill|-58.7974070266293
care plan|56.3471732421102
public health|-51.2371128493762
right act|-49.7667082350795
rais tax|47.6493096196759
state depart|40.0022452731411
repeal afford|-39.8662786789386
snap benefit|-38.5398162288582
nation debt|38.4679925103083
debt limit|38.1995438708497
job creation|37.7250343543933
unemploy benefit|-37.5970529509375
deficit reduct|-37.1273853805833
tar sand|-36.5369023282121
health plan|34.7362156890083
bill floor|-33.4786045903559
open govern|-33.3521781452711
under bill|33.0720537933248
support rule|32.9412611009403
train wreck|32.4374104653724
prescript drug|-31.9506647389221
pass budget|-31.8655815458787
equal pay|-31.4583197957629
trillion debt|31.4053691601477
extend unemploy|-31.0054045435167
war coal|30.4114676610729
sea level|-30.2808670672161
red tape|30.0732218699502
year ago|-29.4336609967543
lower cost|28.7430131154207
attorney general|28.3405500992679
assist program|-27.5633693445414
loan debt|-27.0613977266283
program help|-26.7346142938096
special interest|-26.6471712630389
terrorist attack|25.5811383785354
sexual assault|25.5091428720549
inspector general|25.047153971217
reopen govern|-24.7996528321243
like health|23.8763588251158
govern spend|23.3457525303661
border patrol|23.3235272030946
tax credit|-23.0568929164748
support bill|22.5361282398265
bipartisan bill|-22.4337231457096
keep doctor|22.35842419384
one thing|22.3327839655094
keep health|21.5841508627811
found father|21.5625983030853
keep govern|-21.5003815384938
job creator|20.4312273818176
big govern|20.2212359061932
terrorist organ|20.0934303767345
faith credit|-19.9822944532623
doughnut hole|-19.6843761609319
god bless|19.6838997785057
human right|19.5623251524375
legal status|19.4591588481474
war terror|19.4348979689458
street journal|18.7703361226978
move forward|-18.7378822847002
world war|18.5654334301187
debt ceil|-18.3204130241942
full faith|-18.2933224594848
tax reform|18.2105234036629
bin laden|18.0989609798839
skill act|17.9413283415006
protect public|-17.9159415586726
first respond|-17.8424823496162
reform bill|-17.8049348218978
bless troop|17.8021582442405
assault weapon|-17.6549810360546
tax code|17.4079204866998
medic research|-17.2409313431146
oil gas|-16.9317619150889
come floor|-16.8897111308375
public servant|-16.8627143211816
put food|-16.5885744728433
spend problem|16.5766897260089
pass clean|-16.4950983138397
health human|16.475901872159
fix broken|-15.9661275062752
clean air|-15.8838854474315
get rid|-15.7274699826057
rural develop|-15.6702393052987
tax hike|15.51577569099
lose health|15.5131953549696
public school|-15.4620883254759
wast time|-15.4559689663903
care reform|15.3872946316256
background check|-15.2423152894899
like plan|15.1700213945887
spend reduct|15.0834787292468
want us|-14.9196345237635
higher tax|14.9037745824393
need invest|-14.8660288035858
plan cancel|14.8268389729483
rule under|-14.7860465308941
higher premium|14.6450265652473
patent troll|14.6365178935241
end shutdown|-14.5970824109581
bill right|14.3595988811665
get done|-14.2926845340032
food assist|-14.0324407744587
govern account|13.9218352006216
great recess|-13.809064662641
vote clean|-13.7214237510033
credit unit|-13.687596772973
chemic weapon|-13.6434788790318
pay equal|-13.5546735413582
weather event|-13.4572124756606
command chief|13.3211201025394
yucca mountain|13.1666320050034
make invest|-13.1402545282061
patent system|13.0815383313893
tax dollar|12.9052065863622
member support|12.7705556693337
progress caucus|-12.6437132822139
go school|-12.5402354955613
snap program|-12.4504393403118
spend control|12.3806699704553
start program|-12.2470696612977
talk point|12.0465029593576
sexual orient|-12.0377810279294
opposit rule|-12.0359340487954
silver state|11.9027375480414
protect act|11.8868359099074
bring floor|-11.8254537959231
critic import|-11.8096247109582
global war|11.7524733272352
bring job|-11.7219212105958
second term|11.6630277440204
side effect|11.6193261552698
plan like|11.6000634613786
lost job|-11.5188159825296
big oil|-11.5067801283782
govern shut|-11.5033758888821
program snap|-11.4817656803263
creat job|-11.4474322839189
like doctor|11.3625757403645
job oversea|-11.3089915871082
bring bill|-11.2557358975659
stay parent|-11.1827430280653
brought floor|-11.141562519234
budget deficit|-11.0844979857699
get budget|-11.0361665258158
student debt|-11.016744445022
that just|10.9635506330047
southern border|10.9386401767807
level rise|-10.8032977536592
mani year|-10.646436599875
right thing|-10.627335748146
save account|10.6205293547917
want repeal|-10.6127086830376
get sick|-10.4422344322797
sale tax|-10.4421792391056
health save|10.3583199287405
keep plan|10.2001918844291
school construct|-10.1862302261733
default debt|-10.1589142610098
budget pass|-10.0362645333873
afford health|-10.0110463274528
wage worker|-9.93191524359884
mental ill|9.92711724234646
give account|-9.87707613406944
drive cost|9.83710856898693
premium go|9.77675424294347
plan parenthood|9.72054072276157
drone strike|9.69796670672945
sand oil|-9.65822573498643
fifth amend|9.6026939485765
pay act|-9.5706826003566
foreign affair|9.53906464607129
come across|9.53759960131417
weve got|9.5200993527495
insert text|-9.42810164276903
come home|-9.4019393967007
prevent care|-9.35948312111014
right life|9.27907635112224
human life|9.24658678379886
fund abort|9.11053728422953
orient gender|-9.10923949325671
right movement|-9.07235863404742
buy gun|-9.06328982717049
meal wheel|-9.01341094352347
worker right|-9.00964632384975
collect sale|-9.00495193616882
senior citizen|-8.90810514547847
make life|8.88937919289312
school breakfast|-8.88363658130514
congress support|-8.76695073964191
tri repeal|-8.70528440135744
get spend|8.67941309108834
pass bipartisan|-8.66919678409605
shutdown govern|-8.66327008946648
pathway citizenship|-8.64875730244094
across border|8.61563101234709
mental health|-8.59845568223554
take action|-8.5721712565974
news report|8.44586444160609
health center|-8.40898304133369
think import|8.29109308593581
govern open|-8.24224911553044
central valley|8.21334489472014
want go|-8.19940180632211
tax spend|8.19732765281453
destroy job|8.09544520727392
year old|-8.09467408411604
back home|8.07412484304335
doctor caucus|8.04357092125144
rate student|-8.01075599032857
across state|-7.94227836291136
million job|-7.92710224977072
higher deduct|7.88468703169382
