phrase|partisanship
state depart|74.3829089644849
nation guard|45.1590603459721
tax lien|42.4350217782253
world war|-42.1702897525914
attorney general|37.4575972897443
year ago|-32.518414578117
cold war|29.9012644049719
medic care|28.7329386296613
public health|-27.5902153033185
coast guard|-24.5181928685609
nation govern|24.2421021977256
feed grain|-19.6418885997327
general motor|-19.4319620629681
poll tax|-18.9765242123068
labor surplus|18.4467459171643
school lunch|-18.4293910575423
backdoor spend|18.1910319241202
patent system|17.3498877530155
export control|17.116759897099
postal rate|16.4419068915927
mani year|-16.2885152933171
depart urban|-15.0813253091919
debt limit|14.7888975171441
farm labor|-14.7158635055158
trade agreement|14.6027263978453
interest rate|-13.9091063606887
one great|-13.7945626215139
intern communist|12.5810784922619
unit nation|12.5454219629383
farm program|-12.4863711371844
nation debt|12.4803084128578
cent hour|-12.4221828581299
depress area|12.2294022705919
chief staff|12.0973620479792
protect public|-11.9379770491098
joint chief|11.8607872546668
sugar act|-11.7937234834238
mass transport|-11.3376919823546
debt ceil|11.0870117287574
grain bill|10.7397026069547
bureau budget|10.6746618194501
red china|10.5303699354446
deficit spend|10.4797240391414
dividend interest|-10.4574211711318
rise support|-10.0619880125539
govern control|9.44064640802568
sale tax|-9.12526541369766
lunch program|-9.07232666910652
spend program|8.96991579430013
agreement act|8.96335967322507
farmer home|-8.91432900563095
highway program|8.87908952965846
arm control|-8.87735930999494
wage rate|-8.50800371635792
ground station|-8.43224872395231
war veteran|-8.3630309290006
urban renew|8.27661562894264
communist china|7.9700025091557
loan fund|7.86082568989368
surplus area|7.77684487533328
panama canal|-7.70381082983674
highway depart|7.69971226985676
distinguish friend|-7.69227641489355
motor stock|-7.57746866391603
judgment creditor|7.45884275774414
omnibus bill|7.37536657435535
communist govern|-7.34700546141855
street journal|7.32015454864183
million ton|-7.06883000511801
nuclear war|-7.03144370007389
tax reduct|6.9781192616184
trade bill|6.80994621948317
dairi farmer|-6.64917734116664
gas act|-6.42656280354921
food fiber|-6.37331624545652
clear channel|-6.25333405893547
veteran affair|6.06764247977472
nation world|-5.96183743552544
public group|5.84803486502767
communist totalitarian|-5.7710966992741
human be|-5.74290977657739
tax credit|5.72174559151186
boy girl|-5.69282254437913
demand second|5.68712197689798
author bill|5.59459107076897
urban transport|-5.55633281503513
counterpart fund|-5.46016507215092
conflict interest|-5.39931485510159
state highway|5.39478604783619
one thing|5.25863118400083
nation parkway|5.10198708944962
fact matter|-5.0732974398559
civil war|-5.05142083121174
postal deficit|4.9908702259527
care age|4.9807992918151
assist program|-4.9721079486377
product gather|-4.94760395888779
side effect|-4.91876324081857
high school|-4.85293087062144
local school|-4.82925464424536
public school|-4.77631470932319
neutral nation|4.77124689196425
govern spend|4.75928542799278
labor union|4.61375217172627
god bless|-4.56199721382281
peril point|4.54676697733054
import quota|4.52535882311417
creat job|4.51606689906147
pension plan|4.5148688350114
rural develop|4.4690418432655
