phrase|partisanship
full employ|-57.8484563739955
war depart|51.2940286227579
unit kingdom|30.1165573176601
draft board|29.592769135426
state depart|28.8305216536996
war food|25.1635478969481
unit nation|-22.9091461955374
employ bill|-22.4115556512058
labor organ|-20.8375815620504
hot spring|20.4617774244408
collect bargain|-20.3549627463212
red tape|19.6333738381176
war program|-18.9044662092667
bureau mine|-18.648784609451
organ labor|-17.1843118202959
veteran affair|16.7317060282181
wage earner|-16.1101784398934
human be|-15.9572157200188
chief staff|15.580248009301
civilian product|15.2323692864058
thirteenth amend|14.7028845351355
maximum product|14.3173187223502
medal honor|14.0439318606613
cost product|13.3214880067075
general motor|-13.3118902810946
railroad worker|13.0936754055222
pay roll|12.8532836990553
men need|12.7927718360872
farm bureau|-12.6599498576664
world court|12.6385117389257
profit tax|-11.6979115426803
control act|11.6768036936688
rise support|11.1054450419331
surgeon general|11.0925430115309
minimum wage|11.0752148718069
atom bomb|-11.0722344874948
coal strike|-11.0365648444669
place employ|10.686233826121
punish war|-10.5744611581575
two govern|-10.1066386159339
labor standard|-9.83019064692947
boulder dam|9.78843041051309
give away|9.78522613074075
last war|-9.22686607918652
fat oil|9.16324797795052
excess profit|-9.13997510957567
standard act|-9.09497269717609
equal demand|8.97398891009897
bureau budget|-8.64694270667675
freight forward|-8.63402462914774
sent combat|8.61262001372216
polish govern|-8.07088143096031
foreign nation|7.78063672792545
control atom|-7.75636719918347
fix ceil|7.71108862678247
nation origin|-7.68513917578706
trade agreement|-7.64254023982957
trusteeship council|7.63930280128668
labor union|-7.45023600386916
public hear|-7.43105135329703
get rid|7.36535188417656
pari meet|7.30566905704677
draft act|7.12067393859004
end war|-6.96264853204005
loan great|6.67664077128379
creed color|-6.65213202020567
surplus war|6.64611286753085
nation world|-6.5033935488177
physic handicap|-6.30676678364584
weather report|6.16186479555201
railroad strike|-6.16084687407914
nation guard|6.08231998413424
special interest|-6.07893622023866
product food|6.05329177223572
food problem|6.05111699006274
war crime|-5.9890292291571
farm worker|5.92020060953269
pass grade|5.87560656853178
air corp|5.81682598502726
swiss watch|-5.81441455634079
